"Property Identification Number","Address","Zip Code","Managing Organization","Owership Status","Building","Zoning","Ward","Community Area","Date Property Was Added","Deed Status","Date Property Was Purchased","Date Property  Was Sold","Date of  Last Update","Event","AIS Category","EDR Complete"
"20-04-416-007-0000","4445 S PRINCETON AVE","60609","None","Owned by City","-","RS-3","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","Signal","-","N"
"26-31-409-023-0000","13519 S BRANDON AVE","60633","None","Owned by City","-","B3-1","10","HEGEWISCH","05/23/2017","Partially Verified","05/13/2008","-","11/02/2021","-","-","N"
"25-21-204-006-0000","323 W 111TH PL","60628","None","Sold","-","RS-3","34","ROSELAND","05/23/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-04-319-001-0000","4503 S HALSTED ST","60609","-","Owned by City","-","B3-2","11","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-427-004-0000","4611 S LANGLEY AVE","60653","-","Owned by City","-","RT-4","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-308-031-0000","5230 S EMERALD AVE","60609","-","Owned by City","-","RS-3","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-303-019-0000","5137 S LOWE AVE","60609","-","Owned by City","-","RS-3","03","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-212-035-0000","4951 S PRINCETON AVE","60609","-","Owned by City","-","RS-3","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-201-023-0000","4742 S PRINCETON AVE","60609","-","Owned by City","-","RS-3","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-201-018-0000","4731 S SHIELDS AVE","60609","-","Owned by City","-","RS-3","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-09-106-017-0000","633 W 48TH ST","60609","-","Owned by City","-","RS-3","11","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-08-407-007-0000","839 W 51ST PL","60609","-","Owned by City","-","RS-3","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-08-405-005-0000","847 W 51ST ST","60609","-","Owned by City","-","RS-3","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-08-218-043-0000","900 W 50TH PL","60609","-","Owned by City","-","RS-3","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-110-038-0000","6436 S BISHOP ST","60636","-","Owned by City","-","RS-3","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-100-040-0000","1535 W 63RD ST","60636","-","Owned by City","-","B3-2","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-19-412-040-0000","1738 W 69TH ST","0","-","Owned by City","-","RS-3","17","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-19-206-023-0000","6349 S PAULINA ST","60636","-","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-424-022-0000","6226 S WINCHESTER AVE","60636","None","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Verified","09/20/1984","-","11/02/2021","-","-","N"
"20-18-422-004-0000","6109 S PAULINA ST","60636","-","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-416-023-0000","6100 S WINCHESTER AVE","60636","-","Owned by City","-","RS-3","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-412-036-0000","6042 S HERMITAGE AVE","60636","-","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-326-015-0000","7049 S PARNELL AVE","60621","-","Owned by City","-","RT-4","06","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-317-019-0000","6858 S PARNELL AVE","60621","-","Owned by City","-","RT-4","06","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-414-025-0000","6936 S WENTWORTH AVE","60621","-","Owned by City","-","C1-2","06","GREATER GRAND CROSSING","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-414-024-0000","6936 S WENTWORTH AVE","60621","-","Owned by City","-","C1-2","06","GREATER GRAND CROSSING","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-30-432-037-0000","1736 W 79TH ST","60620","-","Owned by City","-","B1-1","17","AUBURN GRESHAM","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-28-100-029-0000","7130 S EMERALD AVE","60621","-","Owned by City","-","RS-3","06","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-229-031-0000","916 W 59TH ST","60621","-","Owned by City","-","B3-1","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-220-001-0000","5701 S MORGAN ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-102-019-0000","5539 S LAFLIN ST","60636","-","Owned by City","-","RS-3","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-101-029-0000","5538 S LAFLIN ST","60636","-","Owned by City","-","RS-3","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-415-013-0000","350 W 61ST PL","60621","None","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-411-035-0000","6050 S LA SALLE ST","60621","-","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-408-020-0000","246 W 60TH ST","0","-","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-410-023-0000","6800 S CARPENTER ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-323-005-0000","6917 S ELIZABETH ST","60636","-","Owned by City","-","RS-3","06","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-306-012-0000","6726 S THROOP ST","60636","-","Owned by City","-","RS-3","17","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-34-318-014-0000","3733 S GILES AVE","60653","-","Owned by City","-","RM-5","03","DOUGLAS","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-08-233-001-0000","911 W ERIE ST","0","CDOT","Owned by City","-","M1-2","27","WEST TOWN","04/02/2019","Verified","08/25/1953","-","11/02/2021","-","-","N"
"20-03-219-007-0000","4147 S LANGLEY AVE","0","-","Owned by City","-","RT-4","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-122-042-0000","4242 S CALUMET AVE","60653","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-305-047-0000","5246 S CALUMET AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-305-030-0000","5243 S PRAIRIE AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-304-047-0000","5236 S PRAIRIE AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-111-029-0000","4837 S CALUMET AVE","60615","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-218-028-0000","149 W 57TH PL","0","-","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-15-111-004-0000","5610 S CALUMET AVE","60637","-","Owned by City","-","RM-5","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-429-009-0000","6223 S HERMITAGE AVE","60636","-","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-28-105-021-0000","7152 S NORMAL BLVD","60621","-","Owned by City","-","RT-4","06","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-315-029-0000","6022 S RACINE AVE","60636","None","Owned by City","-","B1-1","16","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-227-013-0000","5839 S CARPENTER ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-225-027-0000","1110 W 59TH ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-27-203-025-0000","7114 S ST LAWRENCE AVE","60619","DPD - Real Estate","Owned by City","-","RS-3","06","GREATER GRAND CROSSING","04/02/2019","Verified","03/26/2001","-","11/02/2021","Assignment","-","N"
"20-26-413-027-0000","7650 S DANTE AVE","60619","-","Owned by City","-","RS-3","05","SOUTH SHORE","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-26-403-017-0000","7535 S DORCHESTER AVE","60619","-","Owned by City","-","RS-3","08","SOUTH SHORE","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-26-312-009-0000","7725 S MARYLAND AVE","60619","-","Owned by City","-","RS-3","08","GREATER GRAND CROSSING","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-08-216-037-0000","1054 W 51ST ST","60609","-","Owned by City","-","B3-2","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-15-113-028-0000","5727 S WABASH AVE","60637","-","Owned by City","-","RT-4","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-15-111-002-0000","5609 S CALUMET AVE","60637","-","Owned by City","-","RM-5","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-209-019-0000","6449 S MAY ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-102-018-0000","2251 W GARFIELD BLVD","-","DPD - Open Space","Owned by City","-","B3-2","15","GAGE PARK","11/27/2018","Verified","11/20/2018","-","11/02/2021","-","-","N"
"20-18-124-002-0000","5847 S HOYNE AVE","-","DPD - Open Space","Owned by City","-","M2-2","15","WEST ENGLEWOOD","11/27/2018","Partially Verified","11/20/2018","-","11/02/2021","-","-","N"
"20-18-228-007-0000","5814 S WOOD ST","-","DPD - Open Space","Owned by City","-","M2-1","15","WEST ENGLEWOOD","11/28/2018","Verified","11/20/2018","-","11/02/2021","-","-","N"
"20-18-429-041-0000","1706 W 63RD ST","-","DPD - Real Estate","Owned by City","-","RS-3","15","WEST ENGLEWOOD","12/28/2018","Verified","12/17/1973","-","11/02/2021","Other","-","N"
"19-10-119-054-8001","-","-","-","Sold","-","-","-","-","03/18/2019","Unverified","-","09/29/2017","11/02/2021","-","-","N"
"17-07-324-026-0000","2342 W WARREN BLVD","60612","-","Sold","-","C1-2","27","NEAR WEST SIDE","03/18/2019","Unverified","-","05/25/2017","11/02/2021","-","-","N"
"17-07-430-004-0000","1651 W WASHINGTON BLVD","60612","-","Sold","-","RM-5.5","27","NEAR WEST SIDE","03/18/2019","Unverified","-","03/08/2017","11/02/2021","-","-","N"
"21-31-225-032-0000","2810 E 83RD ST","60617","-","Sold","-","B2-5","07","SOUTH CHICAGO","03/18/2019","Unverified","-","04/10/2017","11/02/2021","-","-","N"
"25-05-119-016-0000","8900 S LOOMIS ST","60620","-","Sold","-","B2-1.5","21","WASHINGTON HEIGHTS","03/18/2019","Unverified","-","06/29/2017","11/02/2021","-","-","N"
"25-05-119-027-0000","8958 S LOOMIS ST","60620","-","Sold","-","B2-1.5","21","WASHINGTON HEIGHTS","03/18/2019","Unverified","-","06/29/2017","11/02/2021","-","-","N"
"16-23-106-021-0000","1245 S MILLARD AVE","60623","-","Sold","-","RT-4","24","NORTH LAWNDALE","03/18/2019","Unverified","-","08/08/2017","11/02/2021","-","-","N"
"16-23-402-043-0000","3445 W 18TH ST","0","-","Sold","-","RT-4","24","NORTH LAWNDALE","03/18/2019","Unverified","-","10/31/2017","11/02/2021","-","-","N"
"16-23-113-010-0000","1327 S MILLARD AVE","60623","-","Sold","-","POS-2","24","NORTH LAWNDALE","03/18/2019","Unverified","-","10/31/2017","11/02/2021","-","-","N"
"13-35-212-010-0000","3545 W LYNDALE ST","60647","None","Owned by City","-","RS-3","35","LOGAN SQUARE","03/18/2019","Partially Verified","-","06/27/2017","11/02/2021","-","-","N"
"17-07-324-025-0000","2344 W WARREN BLVD","60612","-","Sold","-","C1-2","27","NEAR WEST SIDE","03/18/2019","Unverified","-","05/25/2017","11/02/2021","-","-","N"
"20-20-203-015-0000","6335 S CARPENTER ST","60621","-","Sold","-","RS-3","16","ENGLEWOOD","03/18/2019","Unverified","-","03/23/2017","11/02/2021","-","-","N"
"17-07-430-005-0000","1649 W WASHINGTON BLVD","60612","-","Sold","-","RM-5.5","27","NEAR WEST SIDE","03/18/2019","Unverified","-","03/08/2017","11/02/2021","-","-","N"
"17-07-430-001-0000","1659 W WASHINGTON BLVD","60612","-","Sold","-","RM-5.5","27","NEAR WEST SIDE","03/18/2019","Unverified","-","03/08/2017","11/02/2021","-","-","N"
"17-35-103-009-0000","3916 S LAKE PARK AVE","60653","-","Owned by City","-","B3-3","04","OAKLAND","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-34-313-009-0000","3708 S WABASH AVE","60653","-","Owned by City","-","RM-5","03","DOUGLAS","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-34-303-005-0000","33 E 36TH ST","0","AIS","Owned by City","Y","C1-3","03","DOUGLAS","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-27-408-048-0000","2930 S COTTAGE GROVE AVE","0","AIS","Owned by City","Y","PD 1509","4","DOUGLAS","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"17-27-404-018-0000","2700 S LAKE PARK AVE -N","0","AIS","Owned by City","Y","-","-","-","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"17-27-108-003-0000","2315 S STATE ST","60616","None","Owned by City","-","DX-3","3","NEAR SOUTH SIDE","04/02/2019","Partially Verified","-","-","11/02/2021","Signal","-","N"
"17-27-108-002-0000","2313 S STATE ST","60616","None","Owned by City","-","DX-3","3","NEAR SOUTH SIDE","04/02/2019","Partially Verified","-","-","11/02/2021","Signal","-","N"
"17-20-445-019-0000","2108 S HALSTED ST","60608","None","Owned by City","-","M1-2","11","LOWER WEST SIDE","04/02/2019","Verified","02/10/1987","-","11/02/2021","Signal","-","N"
"17-19-213-043-0000","1802 W 14TH ST","0","None","Owned by City","-","PD 30","28","NEAR WEST SIDE","04/02/2019","Verified","08/01/1968","-","11/02/2021","Signal","-","N"
"17-19-213-003-0000","1849 W HASTINGS ST","0","None","Owned by City","-","PD 30","28","NEAR WEST SIDE","04/02/2019","Verified","04/02/1969","-","11/02/2021","Signal","-","N"
"20-02-105-001-0000","4001 S COTTAGE GROVE AVE","0","-","Owned by City","-","C1-3","04","OAKLAND","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-02-103-020-0000","61 E OAKWOOD BLVD -N","0","-","Owned by City","-","-","-","-","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-02-401-021-0000","4401 S OAKENWALD AVE","60653","DPD - Real Estate","Owned by City","-","RM-5","4","KENWOOD","04/02/2019","Partially Verified","-","-","11/09/2021","Assignment","B","Y"
"20-02-311-006-0000","4543 S COTTAGE GROVE AVE","60653","None","Owned by City","-","B1-1","4","KENWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-02-309-025-0000","4446 S UNIVERSITY AVE","60653","-","Owned by City","-","RT-4","04","KENWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-02-119-012-0000","825 S COTTAGE GROVE AVE -N","0","-","Owned by City","-","-","-","-","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-02-113-024-0000","4137 S DREXEL BLVD","60653","-","Owned by City","-","RM-5","04","OAKLAND","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-123-001-0000","4201 S CALUMET AVE","60653","None","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Verified","04/12/1976","-","11/02/2021","Signal","-","N"
"20-10-316-003-0000","5413 S CALUMET AVE","60615","-","Owned by City","-","RS-3","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-314-017-0000","5414 S PRAIRIE AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-314-016-0000","5412 S PRAIRIE AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-309-009-0000","5323 S WABASH AVE","60615","-","Owned by City","-","RT-4","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-303-021-0000","5248 S INDIANA AVE","60615","-","Owned by City","-","RM-5","03","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-218-013-0000","4945 S ST LAWRENCE AVE","60615","-","Owned by City","-","RM-5","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-18-224-035-0000","1900 W VAN BUREN ST","60612","DPD - Real Estate","Sold","-","PD 1310","27","NEAR WEST SIDE","07/12/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-10-213-017-0000","4847 S LANGLEY AVE","60615","-","Owned by City","-","RM-5","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-211-013-0000","4835 S ST LAWRENCE AVE","60615","-","Owned by City","-","RM-5","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-123-005-0000","5015 S CALUMET AVE","60615","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-122-014-0000","5030 S CALUMET AVE","60615","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-122-004-0000","5021 S PRAIRIE AVE","60615","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-10-117-003-0000","4907 S CALUMET AVE","60615","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-221-015-0000","5765 S LAFAYETTE AVE","60621","-","Owned by City","-","RS-3","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-220-013-0000","5765 S PERRY AVE","60621","-","Owned by City","-","RS-3","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-218-031-0000","5744 S LA SALLE ST","60621","-","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-215-006-0000","5719 S LAFAYETTE AVE","60621","-","Owned by City","-","RS-3","20","WASHINGTON PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-115-026-0000","5710 S WALLACE ST","0","-","Owned by City","-","M1-2","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-16-113-006-0000","5715 S EMERALD AVE","60621","-","Owned by City","-","RS-3","20","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-17-419-011-0000","900 S CARPENTER ST","60607","-","Sold","-","RM-5","25","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-17-419-012-0000","904 S CARPENTER ST","60607","-","Sold","-","RM-5","25","NEAR WEST SIDE","05/26/2017","Partially Verified","-","05/06/1996","11/02/2021","-","-","N"
"17-18-100-001-0000","2357 W MADISON ST","60612","-","Sold","-","B3-3","27","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-18-100-002-0000","2355 W MADISON ST","60612","-","Sold","-","B3-3","27","NEAR WEST SIDE","05/26/2017","Partially Verified","07/15/2000","01/26/2012","11/02/2021","-","-","N"
"17-18-100-003-0000","2353 W MADISON ST","60612","-","Sold","-","B3-3","27","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-18-100-004-0000","2351 W MADISON ST","60612","-","Sold","-","B3-3","27","NEAR WEST SIDE","05/26/2017","Partially Verified","07/15/2000","01/26/2012","11/02/2021","-","-","N"
"17-19-205-021-0000","1811 W WASHBURNE AVE","0","-","Sold","-","PD 30","28","NEAR WEST SIDE","05/26/2017","Partially Verified","12/21/1981","11/13/2006","11/02/2021","-","-","N"
"16-13-129-036-0000","3124 W HARRISON ST","60612","AIS","Owned by City","-","B3-3","28","EAST GARFIELD PARK","07/10/2018","Partially Verified","06/30/1971","-","11/02/2021","-","-","N"
"17-19-205-024-0000","1232 S WOOD ST","0","-","Sold","-","PD 30","28","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-19-205-025-0000","1334 S WOOD ST","0","-","Sold","-","PD 30","28","NEAR WEST SIDE","05/26/2017","Partially Verified","01/28/1969","11/13/2006","11/02/2021","-","-","N"
"17-19-205-029-0000","1854 W 13TH ST","0","-","Sold","-","PD 30","28","NEAR WEST SIDE","05/26/2017","Partially Verified","10/25/1979","11/13/2006","11/02/2021","-","-","N"
"16-13-129-037-0000","3122 W HARRISON ST","60612","AIS","Owned by City","-","B3-3","28","EAST GARFIELD PARK","07/10/2018","Partially Verified","06/30/1971","-","11/02/2021","-","-","N"
"16-13-129-041-0000","3110 W HARRISON ST","60612","AIS","Owned by City","-","B3-3","28","EAST GARFIELD PARK","07/10/2018","Partially Verified","06/30/1971","-","11/02/2021","-","-","N"
"16-13-129-042-0000","3108 W HARRISON ST","60612","AIS","Owned by City","-","B3-3","28","EAST GARFIELD PARK","07/10/2018","Partially Verified","06/30/1971","-","11/02/2021","-","-","N"
"16-13-129-043-0000","3104 W HARRISON ST","60612","AIS","Owned by City","-","B3-3","28","EAST GARFIELD PARK","07/10/2018","Partially Verified","06/30/1971","-","11/02/2021","-","-","N"
"17-19-208-008-0000","1943 W 13TH ST","60608","-","Sold","-","PD 30","28","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-20-324-027-0000","2002 S THROOP ST","60608","None","Owned by City","-","RT-4","25","LOWER WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","Signal","-","N"
"17-20-423-030-0000","966 W CULLERTON ST","60608","-","Sold","-","RT-4","25","LOWER WEST SIDE","05/26/2017","Partially Verified","02/08/1982","11/18/1992","11/02/2021","-","-","N"
"17-20-437-012-0000","2040 S HALSTED ST","60608","-","Sold","-","C1-2","11","LOWER WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-07-413-016-0000","1836 W LAKE ST","60612","-","Sold","-","PMD 4","27","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-07-413-026-0000","1808 W LAKE ST","60612","-","Sold","-","PMD 4","27","NEAR WEST SIDE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"17-07-413-027-0000","1806 W LAKE ST","60612","-","Sold","-","PMD 4","27","NEAR WEST SIDE","05/26/2017","Partially Verified","-","06/25/2004","11/02/2021","-","-","N"
